user,asin,rating
A25KXD18HYMRCV,B00JQW1GK6,5
A25PP8TOV6Q9SV,B00CVTLYQM,5
AFP8JQVAACY0W,B00HUMPF1K,5
A27HGURKO0AN41,B00337WGNG,5
A3S9LURTIYBKDG,B005FZ8GBK,5
A2EA0JE6LV4BXH,B00ATBGZ9U,5
A1K36M4FR2I8VL,B000UVNMCM,5
A11XDMAQ6P4YCT,B005HZNREE,4
A383QMBUH4GCXX,B0090U5MU4,5
AJSFEHJ5QBP5I,B004J1M3LU,5
A2U8ZPUJRLVFML,B00FQIBB2W,5
A3CRYC1GDXJTIJ,B00IEKGEAS,5
A2XI9RYFE0AT56,B001E5SB4C,5
A1DBSTN6JUC6GI,B00G1ZX3TI,5
A3J69RUPN97UZ,B00HNCOOTQ,5
A2H3ZQZOKJ8ZYN,B009LL40DM,5
A1RO79T08IMDM4,B00DEIRHQA,5
A32G8XXAIPAC1X,B002KHXN8C,5
AUO8D6KVNLH8G,B00F5S64K2,4
A3U934L9VVQG62,B004S7X5QC,5
A11Q3F9AH35RU6,B00E0GAT7O,5
A3U9KD7MRGZ69P,B003ICZR1E,5
A241GQ6RLWSFX0,B009INBO1O,5
A29DU6R59XRCRR,B00G9D60RO,4
A3UTPNU3Q4ZME3,B0042B8OK6,5
A2EUVS7GUWW972,B00CR6WERM,5
A121K8D6U2X44F,B00BW7NLAG,4
A3RHMVA3O0KOIU,B004OZJU6W,5
A3R4S1C9OF5DW8,B008OZIFFK,4
A14LMFPQZD02VR,B00BAXL69K,5
A1DNXEOZNRYXOL,B003T9TP6E,5
AZX7L2SWQU9NS,B005O0N7GK,5
A3D2NP926ZZBMK,B007TYMG7U,5
A2C3E5916O0NTW,B0061AWPKQ,5
A3HAAS11NV60F6,B00DGXY56I,4
A3T5Y7C85F00T5,B00G3ALNSY,5
A853HLQJG0K07,B005A55TQ0,5
A1QNQHFF7JSYKB,B002HNFWY2,5
A1IF20ZJNXQ1PM,B00DL3X8IO,4
A2K2XWUTSW5DFU,B00BQZMBJ6,5
A1W3699U13QAG0,B00AAZGLAI,5
A3THR3O57E1FNG,B00EOZH8DO,5
A1Y1F2YL3SJD3G,B00CEKM6RE,5
A1L90YF0N1UB1E,B00DY0CIVW,5
A394FNEP0VTKME,B0016OIGXW,4
AA2DMIXNV6UC7,B00FBUAUEA,5
A35383F78OFV4B,B00ECDISZA,4
A39TTRDJAZDEG2,B00DVNG0J8,5
A1WG3JQIC6ADGT,B00BEPIF0W,4
